,VARNAMES:,CID,IDSURVEY,TYPE,FIELD,CUTFLAG_SNANA,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_sSFR,HOST_sSFR_ERR,PKMJDINI,SNRMAX1,SNRMAX2,SNRMAX3,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITCHI2,FITPROB,SIM_TYPE_INDEX,SIM_TEMPLATE_INDEX,SIM_LIBID,SIM_NGEN_LIBID,SIM_ZCMB,SIM_ZFLAG,SIM_VPEC,SIM_DLMAG,SIM_PKMJD,SIM_x1,SIM_c,SIM_alpha,SIM_beta,SIM_x0,SIM_mB,SIM_AV,SIM_RV
7736,SN:,357,12,111,-9.0,3,0.8834799999999999,0.0213,0.8825299999999999,0.0213,0.8825299999999999,0.02138,0,300,0.020624299999999998,-9,-9,-9,-9,59813.1,19.2791,19.0455,12.8835,59817.5,0.203,-0.994028,0.27509,-0.0703439,0.032622700000000004,24.1459,0.0410052,3.9414300000000005e-06,1.48856e-07,0.000258033,-2.1842e-08,8.205499999999999e-10,60,73.2701,0.11664000000000001,11,0,39,1,0.8825299999999999,0,41.4909,43.7662,59817.6,-0.6986760000000001,-0.045477699999999996,0.14,3.1,3.2417000000000002e-06,24.3581,-9,-9
787,SN:,66782,12,111,-9.0,3,0.8886299999999999,0.0229,0.88886,0.0229,0.88886,0.02298,0,300,0.0157789,-9,-9,-9,-9,59666.0,15.6885,13.5859,13.4536,59669.4,0.617,1.3261,0.4425,-0.0261991,0.0353089,24.2627,0.047036,3.5394999999999997e-06,1.53337e-07,0.00209567,-4.20935e-08,5.71032e-10,32,25.7476,0.77466,11,0,106,1,0.88886,0,586.133,43.784,59669.5,1.0089700000000001,-0.021724700000000003,0.14,3.1,3.71394e-06,24.2104,-9,-9
1831,SN:,292811,12,111,-9.0,3,0.63873,0.1075,0.6380600000000001,0.1075,0.6380600000000001,0.10751,0,300,0.0135942,-9,-9,-9,-9,60632.1,38.4118,32.1829,22.5027,60638.2,0.207,0.46103,0.15846,0.030971600000000002,0.029127899999999998,23.6166,0.0263335,6.4172300000000006e-06,1.55644e-07,0.000133255,-8.70518e-09,-2.87472e-09,40,28.2972,0.9172600000000001,11,0,83,1,0.6380600000000001,0,-0.360082,42.9022,60638.2,0.6342800000000001,0.06255509999999999,0.14,3.1,6.26701e-06,23.6424,-9,-9
8540,SN:,288236,12,111,-9.0,3,0.57412,0.001,0.57335,0.001,0.57335,0.00186,0,300,0.0112422,-9,-9,-9,-9,60621.2,98.8018,63.7915,38.9814,60618.0,0.505,0.68501,0.44154,-0.10815,0.0287541,22.8889,0.0294724,1.25445e-05,3.40522e-07,0.00498632,-8.42408e-08,-7.76081e-09,20,13.421,0.8586,11,0,66,1,0.57335,0,-119.303,42.6205,60618.2,0.8411700000000001,-0.06605839999999999,0.14,3.1,1.20453e-05,22.933,-9,-9
3785,SN:,168842,12,111,-9.0,3,0.7613300000000001,0.0426,0.76222,0.0426,0.76222,0.04264,0,300,0.015198900000000001,-9,-9,-9,-9,60072.0,22.7316,14.7932,14.4098,60062.5,0.388,-0.541376,0.52025,0.025063,0.0402822,23.9763,0.0547013,4.60777e-06,2.32147e-07,0.007244,-9.917270000000001e-08,-3.21843e-09,12,5.78855,0.9263600000000001,11,0,98,1,0.76222,0,349.645,43.3724,60063.3,0.0916183,0.0333087,0.14,3.1,4.119719999999999e-06,24.0978,-9,-9
433,SN:,183485,12,111,-9.0,3,0.8287200000000001,0.001,0.8286,0.001,0.8286,0.00208,0,300,0.00807619,-9,-9,-9,-9,59872.1,19.6632,13.2591,12.4398,59875.6,0.527,-0.158683,0.36196999999999996,0.10625,0.034913400000000004,24.5619,0.0351714,2.68682e-06,8.70368e-08,0.00180999,-1.4821500000000001e-08,-5.31341e-11,32,18.8286,0.9687399999999999,11,0,113,1,0.8286,0,-351.49300000000005,43.5966,59875.2,-0.29235,0.0835352,0.14,3.1,2.76327e-06,24.5314,-9,-9
9140,SN:,56544,12,111,-9.0,3,0.8793,0.0337,0.87776,0.0337,0.87776,0.03375,0,300,0.00967268,-9,-9,-9,-9,60238.3,27.9862,27.5318,17.1911,60238.4,0.413,0.00302247,0.33145,-0.0803502,0.031025,24.1334,0.0350245,3.9868e-06,1.28609e-07,0.000565249,-1.94094e-08,4.75101e-10,48,43.1052,0.6732600000000001,11,0,102,1,0.87776,0,228.942,43.7524,60238.4,0.23374,-0.049915,0.14,3.1,3.7498900000000004e-06,24.2,-9,-9
6521,SN:,74173,12,111,-9.0,3,0.97634,0.2762,0.9792,0.2762,0.9792,0.27621,0,300,0.0313353,-9,-9,-9,-9,59646.1,12.4909,9.87632,8.85975,59647.7,1.044,0.08976189999999999,0.48618,-0.145529,0.0400379,24.3615,0.06315269999999999,3.2313999999999997e-06,1.87957e-07,0.0025655,-3.7998e-08,2.16507e-09,39,28.3344,0.89654,11,0,111,1,0.9792,0,-175.4,44.0407,59650.1,-0.193798,-0.086883,0.14,3.1,3.02418e-06,24.4335,-9,-9
6355,SN:,71103,12,111,-9.0,3,0.8195399999999999,0.0645,0.81939,0.0645,0.81939,0.06452999999999999,0,300,0.017603,-9,-9,-9,-9,60045.0,27.5058,20.8396,16.1302,60041.2,0.383,-0.284113,0.29507,-0.0940799,0.031593500000000004,24.0125,0.032257999999999995,4.45669e-06,1.3241199999999998e-07,0.00132485,-1.73999e-08,-4.11782e-11,24,21.1423,0.63032,11,0,15,1,0.81939,0,675.4680000000001,43.5667,60041.3,-0.126182,-0.084749,0.14,3.1,4.691740000000001e-06,23.9567,-9,-9
9402,SN:,193710,12,111,-9.0,3,0.9412299999999999,0.0384,0.9390299999999999,0.0384,0.9390299999999999,0.03845,0,300,0.014437,-9,-9,-9,-9,60535.2,23.4857,17.0133,14.9881,60525.2,0.561,0.62441,0.38676,-0.0483364,0.0334622,24.1436,0.0438778,3.94963e-06,1.5961600000000002e-07,0.00191009,-3.51601e-08,6.71205e-10,59,39.5924,0.9754799999999999,11,0,22,1,0.9390299999999999,0,246.071,43.9339,60525.9,0.77865,-0.07348400000000001,0.14,3.1,3.6404900000000003e-06,24.2321,-9,-9
