,VARNAMES:,CID,IDSURVEY,TYPE,FIELD,CUTFLAG_SNANA,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_sSFR,HOST_sSFR_ERR,PKMJDINI,SNRMAX1,SNRMAX2,SNRMAX3,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITCHI2,FITPROB,SIM_TYPE_INDEX,SIM_TEMPLATE_INDEX,SIM_LIBID,SIM_NGEN_LIBID,SIM_ZCMB,SIM_ZFLAG,SIM_VPEC,SIM_DLMAG,SIM_PKMJD,SIM_x1,SIM_c,SIM_alpha,SIM_beta,SIM_x0,SIM_mB,SIM_AV,SIM_RV
8149,SN:,148659,12,111,-9.0,3,1.20621,0.0252,1.2072200000000002,0.0252,1.2072200000000002,0.0253,0,300,0.020132,-9,-9,-9,-9,59991.1,7.23601,7.211460000000001,3.3914400000000002,59996.2,1.191,-1.7013099999999999,0.63966,-0.11408900000000001,0.0755202,25.0305,0.12237999999999999,1.7449900000000002e-06,1.9669e-07,0.00642031,-3.65205e-08,1.02045e-08,32,35.8776,0.29148,11,0,126,1,1.2072200000000002,0,467.654,44.6052,59996.1,-0.429095,-0.09410349999999999,0.14,3.1,1.78072e-06,25.0085,-9,-9
5867,SN:,36688,12,111,-9.0,3,1.05169,0.2606,1.05192,0.2606,1.05192,0.26061,0,300,0.00819286,-9,-9,-9,-9,59839.2,8.364139999999999,6.63063,4.53245,59839.4,0.353,2.20155,0.84329,0.15703,0.07876860000000001,24.9605,0.0810076,1.86118e-06,1.38864e-07,0.00547501,-7.52954e-08,3.7151100000000004e-09,50,47.0882,0.5909399999999999,11,0,71,1,1.05192,0,-298.60200000000003,44.2359,59839.8,0.40471999999999997,0.056955099999999995,0.14,3.1,1.8099900000000002e-06,24.9908,-9,-9
578,SN:,79262,12,111,-9.0,3,0.69705,0.0253,0.69624,0.0253,0.69624,0.02536,0,300,0.0185352,-9,-9,-9,-9,60596.1,36.2443,34.4488,20.8579,60592.3,0.242,0.31444,0.19696,-0.0660489,0.030149900000000004,23.6465,0.0268209,6.2429899999999995e-06,1.5422000000000001e-07,0.00064357,-1.32294e-08,-2.20503e-09,40,44.0667,0.30358,11,0,17,1,0.69624,0,31.1949,43.1336,60592.5,0.39125,-0.019976499999999998,0.14,3.1,6.21204e-06,23.6519,-9,-9
9646,SN:,87375,12,111,-9.0,3,1.14735,0.0454,1.1454799999999998,0.0454,1.1454799999999998,0.04545,0,300,0.016872,-9,-9,-9,-9,60153.3,9.43182,6.13414,3.5752099999999998,60141.7,1.164,-0.592952,0.88061,-0.251525,0.0925347,24.8929,0.14387,1.9808500000000003e-06,2.62488e-07,0.017366,-1.37254e-07,1.07249e-08,41,35.6408,0.7072,11,0,108,1,1.1454799999999998,0,273.881,44.467,60141.0,-0.327311,-0.148795,0.14,3.1,2.39543e-06,24.6865,-9,-9
7266,SN:,304988,12,111,-9.0,3,1.3134,0.0663,1.3114299999999999,0.0663,1.3114299999999999,0.06634,0,300,0.0183372,-9,-9,-9,-9,59835.1,7.21062,5.4669099999999995,3.89275,59831.1,1.015,-0.0546904,0.6067,-0.132434,0.06707289999999999,24.9326,0.13625,1.90966e-06,2.3963899999999997e-07,0.00437089,-7.144639999999999e-08,1.0497000000000001e-08,44,38.3876,0.71017,11,0,132,1,1.3114299999999999,0,319.54200000000003,44.8304,59834.3,1.0755,-0.046120999999999995,0.14,3.1,1.53194e-06,25.1719,-9,-9
5278,SN:,48781,12,111,-9.0,3,1.27433,0.0538,1.2706899999999999,0.0538,1.2706899999999999,0.05385,0,300,0.016637700000000002,-9,-9,-9,-9,59810.1,6.70596,5.93984,2.75137,59819.2,0.706,0.2702,0.97049,-0.11120899999999999,0.0732742,25.2917,0.17192000000000002,1.37185e-06,2.17229e-07,-0.00865296,-1.33618e-07,1.11065e-08,44,38.7459,0.69575,11,0,84,1,1.2706899999999999,0,789.3739999999999,44.7473,59820.0,-0.185008,-0.0423527,0.14,3.1,1.39071e-06,25.2769,-9,-9
1773,SN:,217751,12,111,-9.0,3,0.39055,0.001,0.39018,0.001,0.39018,0.00171,0,300,0.0170245,-9,-9,-9,-9,60490.3,12.8048,8.28609,6.73031,60460.6,5.136,0.2736,1.1225,0.25106999999999996,0.21874000000000002,23.6362,0.418,6.30245e-06,2.42639e-06,0.0960197,-1.22439e-06,-5.15164e-07,11,13.3622,0.27031,11,0,69,1,0.39018,0,-72.4244,41.6214,60446.4,-0.44284700000000005,0.0884377,0.14,3.1,1.64811e-05,22.5925,-9,-9
1046,SN:,13276,12,111,-9.0,3,0.63038,0.001,0.63272,0.001,0.63272,0.00192,0,300,0.0180075,-9,-9,-9,-9,59976.2,44.7068,32.7225,26.3481,59970.3,0.024,1.04355,0.22134,0.0168429,0.0298285,23.52,0.0281307,7.0144399999999995e-06,1.81739e-07,0.00060778,-1.76077e-08,-3.38644e-09,40,37.3501,0.59019,11,0,55,1,0.63272,0,-135.796,42.876,59970.7,1.10065,0.05128150000000001,0.14,3.1,7.041060000000001e-06,23.5159,-9,-9
5296,SN:,5565,12,111,-9.0,3,0.8245600000000001,0.0376,0.8234899999999999,0.0376,0.8234899999999999,0.03764,0,300,0.010537600000000001,-9,-9,-9,-9,60153.3,42.4983,30.3617,25.0178,60155.0,1.145,0.65161,0.40731999999999996,-0.104585,0.029522800000000002,23.7562,0.029591200000000005,5.64295e-06,1.53796e-07,-0.00023978400000000002,2.04322e-09,-5.03007e-10,44,39.9727,0.64485,11,0,11,1,0.8234899999999999,0,-78.1137,43.5812,60155.0,0.77157,-0.0883883,0.14,3.1,5.25225e-06,23.8341,-9,-9
5557,SN:,209424,12,111,-9.0,3,1.10962,0.141,1.10804,0.141,1.10804,0.14102,0,300,0.00846776,-9,-9,-9,-9,60662.2,11.6939,10.0177,5.52398,60650.9,0.855,0.19455999999999998,0.62062,-0.0239742,0.06174690000000001,24.8306,0.0638918,2.09768e-06,1.23441e-07,0.011431299999999998,-3.22693e-08,3.2359499999999998e-09,29,22.8625,0.7828,11,0,35,1,1.10804,0,216.235,44.3774,60652.0,0.58745,-0.035896,0.14,3.1,2.1205200000000004e-06,24.8189,-9,-9
5226,SN:,301807,12,111,-9.0,3,0.51879,0.5614,0.51668,0.5614,0.51668,0.5614,0,300,0.00542372,-9,-9,-9,-9,60221.1,72.3189,47.895,33.6673,60217.1,0.179,-2.02285,0.15041,-0.11338800000000002,0.022195199999999998,23.0404,0.0235995,1.09106e-05,2.37152e-07,0.000437102,-1.0450999999999999e-08,-3.63188e-09,41,29.1696,0.9166799999999999,11,0,101,1,0.51668,0,298.394,42.3498,60217.1,-1.92681,-0.05569349999999999,0.14,3.1,1.0501199999999999e-05,23.0819,-9,-9
6816,SN:,36788,12,111,-9.0,3,0.9817600000000001,0.047,0.984,0.047,0.984,0.04704,0,300,0.015625200000000002,-9,-9,-9,-9,59588.2,16.6989,12.7014,9.59483,59590.2,0.824,0.4083,0.79418,-0.06812080000000001,0.042725900000000004,24.476,0.0514877,2.90805e-06,1.37905e-07,0.011214299999999998,-2.1038399999999998e-08,2.02197e-09,40,30.3183,0.86616,11,0,26,1,0.984,0,20.7256,44.0545,59588.7,-0.213225,-0.07048960000000001,0.14,3.1,2.84233e-06,24.5008,-9,-9
6898,SN:,124384,12,111,-9.0,3,0.5240600000000001,0.018,0.52559,0.018,0.52559,0.01807,0,300,0.015198900000000001,-9,-9,-9,-9,59947.4,10.6686,8.01463,5.94335,59915.3,0.528,-1.9492900000000002,0.43433,-0.10005499999999999,0.0416211,22.7817,0.11463,1.3846e-05,1.4618700000000002e-06,-0.000161875,-5.45772e-07,-1.46349e-08,21,22.532,0.36943000000000004,11,0,98,1,0.52559,0,72.3774,42.3893,59914.9,-1.422,-0.09135599999999999,0.14,3.1,1.1965899999999998e-05,22.9401,-9,-9
9572,SN:,342190,12,111,-9.0,3,0.79375,0.038,0.79565,0.038,0.79565,0.03805,0,300,0.0180075,-9,-9,-9,-9,59694.0,20.9764,14.665,10.5782,59684.5,0.668,-0.710601,0.47547,0.06679299999999999,0.039337800000000006,24.0215,0.0354393,4.419840000000001e-06,1.44267e-07,0.00680311,-3.6202699999999994e-08,-1.61409e-09,24,25.9099,0.35775,11,0,55,1,0.79565,0,54.2509,43.4857,59683.8,-0.0329013,0.0246578,0.14,3.1,3.74365e-06,24.2018,-9,-9
6655,SN:,102580,12,111,-9.0,3,1.07759,0.0581,1.07986,0.0581,1.07986,0.05814,0,300,0.015625200000000002,-9,-9,-9,-9,59663.0,9.02828,8.31765,4.6033800000000005,59661.0,0.555,-0.684922,0.6361899999999999,-0.0734721,0.0718525,24.6208,0.0802107,2.5450099999999996e-06,1.88017e-07,0.00724733,-5.60463e-08,6.46867e-09,23,20.1332,0.6338600000000001,11,0,26,1,1.07986,0,45.4536,44.3042,59660.8,0.14926,-0.0807319,0.14,3.1,2.4366e-06,24.668,-9,-9
