VARNAMES:,CID,IDSURVEY,TYPE,FIELD,CUTFLAG_SNANA,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_sSFR,HOST_sSFR_ERR,PKMJDINI,SNRMAX1,SNRMAX2,SNRMAX3,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITCHI2,FITPROB,SIM_TYPE_INDEX,SIM_TEMPLATE_INDEX,SIM_LIBID,SIM_NGEN_LIBID,SIM_ZCMB,SIM_ZFLAG,SIM_VPEC,SIM_DLMAG,SIM_PKMJD,SIM_x1,SIM_c,SIM_alpha,SIM_beta,SIM_x0,SIM_mB,SIM_AV,SIM_RV,SIM_SHAPE,SIMNULL1,SIMSED_pc1,SIMSED_pc2,SIMSED_pc3,SIMSED_II_INDEX,SIMSED_IIN_INDEX,SIMSED_Mejecta,SIMSED_Kinetic_energy,SIMSED_Mcsm,SIMSED_R0,SIMSED_Rho
SN:,216177,12,111,-9.0,3,0.8620700000000001,0.0194,0.8606600000000001,0.0194,0.8606600000000001,0.01949,0,300,0.0102272,-9,-9,-9,-9,60184.3,22.7834,16.5919,14.1821,60185.2,0.39,0.9172100000000001,0.27971999999999997,0.0019172,0.0323827,24.0983,0.0344661,4.11775e-06,1.30716e-07,0.0007380939999999999,-1.9673900000000003e-08,3.5441e-11,52,32.7699,0.9829399999999999,11,0,13,1,0.8606600000000001,0,-2.67266,43.6996,60185.1,0.98906,-0.00158118,0.14,3.1,3.78011e-06,24.1912,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,323853,12,111,-9.0,3,0.918,0.1463,0.9187299999999999,0.1463,0.9187299999999999,0.14631,0,300,0.0189989,-9,-9,-9,-9,59826.3,20.1033,14.2786,11.4478,59817.6,0.553,1.03722,0.47223000000000004,-0.07160419999999999,0.0378132,24.146,0.06286649999999999,3.94099e-06,2.2819199999999998e-07,0.00379892,-8.20222e-08,3.0561500000000003e-10,52,68.0563,0.0667555,11,0,23,1,0.9187299999999999,0,-698.4680000000001,43.872,59817.9,0.28133,-0.0691225,0.14,3.1,3.5698900000000005e-06,24.2534,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,9302,12,111,-9.0,3,1.2871700000000001,0.0582,1.28597,0.0582,1.28597,0.05825,0,300,0.022516099999999997,-9,-9,-9,-9,59854.1,7.0617600000000005,5.95985,3.6663099999999997,59850.5,0.613,-0.9338569999999999,0.92786,-0.041513800000000003,0.0698572,25.0785,0.14595999999999998,1.66951e-06,2.24438e-07,-0.0120506,-1.3176e-07,1.11963e-08,29,35.0196,0.2039,11,0,68,1,1.28597,0,87.823,44.7771,59848.8,-0.309213,-0.051849099999999995,0.14,3.1,1.36821e-06,25.2946,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,145424,12,111,-9.0,3,1.10762,0.063,1.10752,0.063,1.10752,0.06302999999999999,0,300,0.00856182,-9,-9,-9,-9,59797.4,9.0709,7.94653,4.47016,59805.4,0.663,0.13011,0.63535,0.07166130000000001,0.0762723,24.9726,0.0717914,1.8405700000000002e-06,1.21703e-07,0.0104537,-2.4504000000000002e-08,4.48974e-09,53,70.9285,0.050538599999999996,11,0,10,1,1.10752,0,-417.36199999999997,44.3746,59805.9,0.82401,0.024971,0.14,3.1,1.8421599999999999e-06,24.9717,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,27386,12,111,-9.0,3,1.21876,0.145,1.21746,0.145,1.21746,0.14502,0,300,0.00807619,-9,-9,-9,-9,60249.1,9.89435,7.363810000000001,2.3677599999999996,60257.4,0.104,0.73058,1.05611,-0.174924,0.08845089999999999,25.3647,0.1742,1.28273e-06,2.05809e-07,0.0116988,-7.74222e-08,1.33226e-08,11,7.989310000000001,0.71426,11,0,113,1,1.21746,0,-82.4282,44.6301,60254.5,0.52664,-0.013338299999999997,0.14,3.1,1.56309e-06,25.15,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,145375,12,111,-9.0,3,1.0099799999999999,0.0218,1.01033,0.0218,1.01033,0.0219,0,300,0.0105296,-9,-9,-9,-9,59836.2,7.544389999999999,6.740660000000001,2.7517400000000003,59825.3,1.018,0.96655,0.8568,0.17702,0.0854776,25.1054,0.08572389999999999,1.62869e-06,1.28593e-07,0.018006900000000003,-8.00646e-08,1.1594000000000002e-09,50,34.6201,0.9518700000000001,11,0,46,1,1.01033,0,-544.445,44.1275,59825.6,-0.0236442,0.0897426,0.14,3.1,1.72351e-06,25.044,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,163551,12,111,-9.0,3,0.80595,0.001,0.8041699999999999,0.001,0.8041699999999999,0.00206,0,300,0.013787299999999999,-9,-9,-9,-9,59896.1,35.5612,35.5156,18.5924,59899.0,0.195,0.69625,0.14734,-0.127151,0.026417799999999998,23.6833,0.0248455,6.03508e-06,1.38104e-07,7.95966e-05,-8.77574e-09,-7.89508e-10,52,35.2842,0.9632799999999999,11,0,110,1,0.8041699999999999,0,307.376,43.5186,59899.1,0.81791,-0.10119,0.14,3.1,5.80549e-06,23.7254,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,181238,12,111,-9.0,3,1.11792,0.2181,1.1189200000000001,0.2181,1.1189200000000001,0.21811,0,300,0.020132,-9,-9,-9,-9,60345.2,9.7196,8.117389999999999,5.001519999999999,60349.6,1.405,2.13827,0.7884899999999999,-0.0430116,0.06930089999999998,24.9141,0.0777617,1.94244e-06,1.3912000000000002e-07,0.00962386,-4.9376199999999996e-08,4.8037200000000004e-09,44,36.1279,0.79473,11,0,126,1,1.1189200000000001,0,442.67900000000003,44.401,60348.3,0.9031,-0.027058699999999998,0.14,3.1,2.10725e-06,24.8257,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,34923,12,111,-9.0,3,0.18004,0.001,0.1796,0.001,0.1796,0.00155,0,300,0.010212299999999999,-9,-9,-9,-9,59896.0,201.74599999999998,193.435,192.14,59895.4,0.121,-0.13256199999999999,0.13174,-0.07394989999999999,0.0188238,19.9723,0.022535,0.000184102,3.821130000000001e-06,0.000521622,-1.42927e-07,-5.5789e-08,17,2.15193,0.9999899999999999,11,0,105,1,0.1796,0,-131.03799999999998,39.6973,59895.5,-0.0350223,-0.0810364,0.14,3.1,0.00016581200000000002,20.086,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
SN:,85661,12,111,-9.0,3,0.9552799999999999,0.206,0.9577200000000001,0.206,0.9577200000000001,0.20601,0,300,0.0201718,-9,-9,-9,-9,59621.2,13.6702,13.2642,9.70416,59624.3,0.582,0.71514,0.75464,-0.0978139,0.040550199999999995,24.4878,0.0709765,2.8765499999999996e-06,1.8804500000000001e-07,0.000281514,-8.272539999999999e-08,2.95606e-09,40,26.5146,0.9499200000000001,11,0,60,1,0.9577200000000001,0,-46.4108,43.9816,59626.4,0.47148,-0.05865419999999999,0.14,3.1,3.2099400000000002e-06,24.3688,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
