,VARNAMES:,CID,IDSURVEY,TYPE,FIELD,CUTFLAG_SNANA,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_sSFR,HOST_sSFR_ERR,PKMJDINI,SNRMAX1,SNRMAX2,SNRMAX3,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITCHI2,FITPROB,SIM_TYPE_INDEX,SIM_TEMPLATE_INDEX,SIM_LIBID,SIM_NGEN_LIBID,SIM_ZCMB,SIM_ZFLAG,SIM_VPEC,SIM_DLMAG,SIM_PKMJD,SIM_x1,SIM_c,SIM_alpha,SIM_beta,SIM_x0,SIM_mB,SIM_AV,SIM_RV
1369,SN:,184825,12,111,-9.0,3,0.62215,0.001,0.62071,0.001,0.62071,0.00191,0,300,0.018712599999999996,-9,-9,-9,-9,59770.3,63.6642,43.5369,26.0221,59769.6,0.245,0.16199000000000002,0.14908,-0.0783474,0.0290332,23.2661,0.0255849,8.862710000000001e-06,2.08846e-07,-4.6229799999999996e-05,-7.89632e-09,-3.80644e-09,51,47.3826,0.61812,11,0,20,1,0.62071,0,242.125,42.8304,59769.8,0.2677,-0.0888691,0.14,3.1,9.84038e-06,23.1525,-9,-9
1111,SN:,120224,12,111,-9.0,3,0.30139,0.001,0.30044,0.001,0.30044,0.00164,0,300,0.018033900000000002,-9,-9,-9,-9,59798.3,105.096,85.0263,76.7706,59791.3,0.645,-2.7398700000000002,0.18487,-0.08645610000000001,0.0345791,21.6567,0.0648552,3.90232e-05,2.33101e-06,0.00155065,-1.65381e-07,-5.91901e-08,12,2.29962,0.99879,11,0,91,1,0.30044,0,-46.2765,40.9607,59790.9,-2.61291,-0.07862310000000002,0.14,3.1,3.68889e-05,21.7178,-9,-9
5984,SN:,26369,12,111,-9.0,3,0.82805,0.0415,0.8261700000000001,0.0415,0.8261700000000001,0.04154,0,300,0.00870234,-9,-9,-9,-9,60668.1,10.2513,8.32661,6.49416,60685.2,0.041,-0.9658770000000001,0.46497,-0.054252199999999993,0.08301789999999999,24.2349,0.16345,3.63101e-06,5.46622e-07,0.012278200000000001,-2.21225e-07,-3.82159e-09,8,11.6911,0.16552999999999998,11,0,7,1,0.8261700000000001,0,353.532,43.5908,60687.0,-0.5273479999999999,-0.047493900000000006,0.14,3.1,3.91783e-06,24.1524,-9,-9
5916,SN:,135081,12,111,-9.0,3,0.72718,0.0293,0.7247600000000001,0.0293,0.7247600000000001,0.02936,0,300,0.00862049,-9,-9,-9,-9,60241.1,58.7195,47.423,22.5661,60247.6,0.224,1.34285,0.18812,-0.06447230000000001,0.028880799999999998,23.4543,0.028150799999999997,7.45183e-06,1.9321000000000002e-07,-0.00013532,-1.94935e-08,-2.0002600000000003e-09,44,32.7825,0.8930799999999999,11,0,18,1,0.7247600000000001,0,519.88,43.2423,60247.5,1.00748,-0.0631807,0.14,3.1,6.88385e-06,23.5404,-9,-9
9596,SN:,266028,12,111,-9.0,3,1.32361,0.0312,1.32185,0.0312,1.32185,0.03128,0,300,0.0125155,-9,-9,-9,-9,60224.1,6.04545,5.03257,4.42741,60230.9,2.224,-0.971881,1.2345,-0.0443246,0.0740709,25.2537,0.17537,1.42081e-06,2.2949100000000003e-07,-0.011213299999999999,-1.6904099999999998e-07,1.2371299999999998e-08,23,15.9245,0.8584799999999999,11,0,41,1,1.32185,0,20.0976,44.8515,60232.7,0.24769000000000002,-0.0191956,0.14,3.1,1.2504899999999999e-06,25.3923,-9,-9
593,SN:,258492,12,111,-9.0,3,0.92701,0.3118,0.92529,0.3118,0.92529,0.31181,0,300,0.018033900000000002,-9,-9,-9,-9,60596.2,35.962,29.9312,22.4411,60602.2,0.365,0.96557,0.22236,-0.188301,0.0278536,23.8299,0.028510900000000002,5.2726300000000005e-06,1.38457e-07,0.0007916069999999999,-1.1157600000000001e-08,1.79582e-10,44,31.716,0.91669,11,0,91,1,0.92529,0,23.9755,43.8939,60602.0,1.0703200000000002,-0.15899100000000002,0.14,3.1,5.00659e-06,23.8861,-9,-9
1415,SN:,157223,12,111,-9.0,3,0.89976,0.0373,0.89931,0.0373,0.89931,0.03735,0,300,0.017937400000000003,-9,-9,-9,-9,59750.4,12.5624,8.78406,5.5915099999999995,59748.0,2.3,0.42788000000000004,0.81476,0.0975646,0.056359900000000004,24.5612,0.0769216,2.68858e-06,1.90479e-07,-0.000847862,-1.16299e-08,4.4278500000000004e-10,39,32.4331,0.76215,11,0,100,1,0.89931,0,-108.307,43.8161,59751.9,-0.249572,0.050580900000000005,0.14,3.1,2.4938e-06,24.6428,-9,-9
4826,SN:,256332,12,111,-9.0,3,1.01465,0.3102,1.01371,0.3102,1.01371,0.31021,0,300,0.00734744,-9,-9,-9,-9,60627.3,24.0236,17.8933,7.0773,60618.0,0.448,-0.38319699999999995,0.28898,-0.0786379,0.050617,24.4363,0.0378856,3.01632e-06,1.0525100000000001e-07,0.00158497,-1.1128200000000001e-08,1.55861e-09,44,42.0936,0.5536300000000001,11,0,34,1,1.01371,0,45.4827,44.1378,60618.1,-0.130437,-0.0839016,0.14,3.1,2.76445e-06,24.531,-9,-9
1970,SN:,131288,12,111,-9.0,3,0.70943,0.001,0.70948,0.001,0.70948,0.00198,0,300,0.0180075,-9,-9,-9,-9,60016.1,26.4014,22.2702,18.1492,60024.0,0.406,-0.00139602,0.29438000000000003,-0.00628096,0.034511,24.028,0.031819599999999996,4.39335e-06,1.28756e-07,0.00054923,-1.79698e-08,-1.1848e-09,28,33.2118,0.22803,11,0,55,1,0.70948,0,579.83,43.1826,60023.3,-0.366605,0.0430365,0.14,3.1,4.49858e-06,24.0023,-9,-9
7446,SN:,107030,12,111,-9.0,3,1.10404,0.0214,1.1013,0.0214,1.1013,0.021509999999999998,0,300,0.023375299999999998,-9,-9,-9,-9,60605.1,12.017,11.4367,5.999619999999999,60602.2,0.737,1.5369899999999999,0.56116,-0.101824,0.0556601,24.7108,0.0588355,2.3425700000000003e-06,1.26943e-07,0.00421632,-2.71695e-08,3.5780700000000002e-09,32,27.3501,0.70109,11,0,79,1,1.1013,0,307.17,44.3622,60602.4,0.9071600000000001,-0.0831878,0.14,3.1,2.5648700000000002e-06,24.6123,-9,-9
