VARNAMES:,CID,IDSURVEY,TYPE,FIELD,CUTFLAG_SNANA,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_sSFR,HOST_sSFR_ERR,PKMJDINI,SNRMAX1,SNRMAX2,SNRMAX3,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITCHI2,FITPROB,SIM_TYPE_INDEX,SIM_TEMPLATE_INDEX,SIM_LIBID,SIM_NGEN_LIBID,SIM_ZCMB,SIM_ZFLAG,SIM_VPEC,SIM_DLMAG,SIM_PKMJD,SIM_SHAPE,SIM_AV,SIMNULL1,SIM_RV,SIM_x0,SIM_mB,LCLIB_SEED,LCLIB_TAU,LCLIB_SFU,LCLIB_SFG,LCLIB_SFR,LCLIB_SFI,LCLIB_SFZ,LCLIB_SFY,LCLIB_REDSHIFT,LCLIB_EVENT_ID,SIMSED_Cart_INDEX,SIMSED_Mejecta,SIMSED_Vejecta,SIMSED_Fnick,SIMSED_Kappagamma,SIMSED_Temperature,SIMSED_TDE_INDEX,SIMSED_Rph0,SIMSED_Tvis,SIMSED_b,SIMSED_bhmass,SIMSED_eff,SIMSED_lphoto,SIMSED_starmass,SIMSED_stretch,SIMSED_color,SIMSED_SLSN_INDEX,SIMSED_bfield,SIMSED_mns,SIMSED_pspin,SIMSED_kappa,SIMSED_kappagamma,SIMSED_mej,SIMSED_temp,SIMSED_vej,SIMSED_IBC_INDEX,SIMSED_Kinetic_energy,SIMSED_F_nickel,SIMSED_Iax_INDEX,SIMSED_M_V,SIMSED_t_rise,SIMSED_dm15B,SIMSED_dm15R,SIM_x1,SIM_c,SIM_alpha,SIM_beta,SIMSED_pc1,SIMSED_pc2,SIMSED_pc3,SIMSED_II_INDEX,SIMSED_IIN_INDEX,SIMSED_Mcsm,SIMSED_R0,SIMSED_Rho,types_names
SN:,29913,12,103,-9.0,3,0.65032,0.001,0.64981,0.001,0.64981,0.00193,0,300,0.00902038,-9,-9,-9,-9,60227.1,6.8166,5.9556,5.1481900000000005,60227.3,1.421,-2.01092,1.03209,0.26929000000000003,0.0891166,25.6221,0.07742560000000001,1.01199e-06,7.21669e-08,0.0125111,-3.87807e-08,-1.37539e-09,28,34.2947,0.19134,3,234,37,1,0.64981,0,-217.801,42.9503,60231.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,Ibc
SN:,108978,12,103,-9.0,3,0.66709,0.001,0.66599,0.001,0.66599,0.00195,0,300,0.00819286,-9,-9,-9,-9,60287.1,14.8414,11.4359,9.93263,60287.9,0.8190000000000001,-0.687447,0.7674,0.06932360000000001,0.0455132,24.9792,0.0452122,1.8294e-06,7.61797e-08,0.00373809,-3.17652e-08,-4.91129e-10,28,38.6074,0.0874475,3,218,71,3,0.66599,0,143.8,43.0162,60296.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,Ibc
SN:,218580,12,113,-9.0,3,0.98031,0.3296,0.97694,0.3296,0.97694,0.32961,0,300,0.015745099999999998,-9,-9,-9,-9,60165.3,5.64705,5.38168,4.79744,60164.4,0.335,2.10587,1.69609,-0.038313699999999985,0.0715325,25.5339,0.11333,1.09764e-06,1.14569e-07,0.0406745,-8.143930000000001e-08,2.9685500000000005e-09,42,61.6261,0.0257547,13,684,67,3,0.97694,0,510.902,44.0413,60170.7,-9.0,0.0307783,-9.0,3.1,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,684.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,Ibc
SN:,3522,12,113,-9.0,3,0.86239,0.001,0.86055,0.001,0.86055,0.00212,0,300,0.0073296,-9,-9,-9,-9,59839.2,6.78304,6.23294,5.94463,59825.7,4.968,1.51625,1.5255,0.17195,0.0749517,25.1328,0.12055,1.58813e-06,1.76327e-07,-0.0065645,-2.96347e-08,-1.61722e-09,48,42.7477,0.6873,13,682,76,2,0.86055,0,332.773,43.6998,59822.3,-9.0,0.13257,-9.0,3.1,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,682.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,Ibc
SN:,311465,12,113,-9.0,3,0.95518,0.2592,0.95322,0.2592,0.95322,0.25921,0,300,0.016872,-9,-9,-9,-9,60493.3,6.41845,6.27968,3.3270699999999995,60456.8,3.3480000000000003,-0.995849,1.10539,-0.186221,0.0683427,23.4378,0.24866,7.566060000000002e-06,1.7327900000000003e-06,-0.00403374,-1.4232299999999995e-06,2.9782700000000006e-08,28,18.3022,0.91828,13,694,108,4,0.95322,0,325.938,43.9739,60495.3,-9.0,0.0833524,-9.0,3.1,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,694.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,Ibc
SN:,51715,12,113,-9.0,3,0.85182,0.0389,0.8525200000000001,0.0389,0.8525200000000001,0.03894,0,300,0.014437,-9,-9,-9,-9,60164.2,9.80279,6.67794,6.14615,60158.2,0.7959999999999999,-0.8221450000000001,1.07687,-0.00368067,0.06453400000000001,25.2429,0.07900700000000001,1.43497e-06,1.0442e-07,0.0208879,-5.87597e-08,8.040369999999999e-10,52,51.0671,0.51057,13,681,22,4,0.8525200000000001,0,-603.837,43.6717,60159.2,-9.0,0.095328,-9.0,3.1,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,681.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,Ibc
SN:,204520,12,143,-9.0,3,0.83315,0.0123,0.8310299999999999,0.0123,0.8310299999999999,0.01244,0,300,0.021744,-9,-9,-9,-9,60223.3,8.45001,5.43703,5.37619,60204.3,1.767,0.27488,1.12394,0.14757,0.07021010000000001,25.0251,0.08618939999999999,1.75377e-06,1.3922e-07,0.0222097,-1.027e-07,-4.694750000000001e-10,48,63.7431,0.0636302,43,325,61,1,0.8310299999999999,0,187.01,43.6068,60204.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,325.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,Iax
SN:,23806,12,143,-9.0,3,0.5811,0.001,0.58034,0.001,0.58034,0.00187,0,300,0.00848908,-9,-9,-9,-9,60212.2,22.6742,14.7404,13.0694,60200.2,0.02,-2.3340400000000003,0.37455,0.08679400000000001,0.044831800000000005,24.0898,0.0440277,4.15039e-06,1.6830200000000002e-07,0.00354932,-3.5527000000000004e-08,-4.651e-09,36,50.7656,0.05229169999999999,43,606,103,1,0.58034,0,39.6972,42.6523,60200.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,606.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,Iax
SN:,304159,12,143,-9.0,3,0.92796,0.0257,0.92619,0.0257,0.92619,0.02577,0,300,0.0180209,-9,-9,-9,-9,59930.1,6.18343,5.67679,3.97667,59939.8,0.071,-1.7281099999999998,1.41198,-0.088798,0.068399,25.7179,0.17747000000000002,9.26493e-07,1.51438e-07,-0.0135055,-1.51374e-07,5.70775e-09,16,11.8475,0.75441,43,402,4,1,0.92619,0,34.2474,43.8965,59950.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,402.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,Iax
SN:,8469,12,143,-9.0,3,0.72641,0.0183,0.7259,0.0183,0.7259,0.01838,0,300,0.0183372,-9,-9,-9,-9,60153.3,10.5339,10.2917,5.77616,60139.7,0.675,-2.1568400000000003,0.5421100000000001,-0.0321549,0.0857193,24.2243,0.11112,3.666690000000001e-06,3.75259e-07,0.0235141,-1.6439399999999998e-07,-1.88546e-08,40,40.0917,0.46619,43,516,132,1,0.7259,0,-49.6667,43.2441,60146.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,516.0,-9.0,-9.0,-9.0,-9.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,Iax
