z,mu,muerr
0.0155,34.1987,0.1084
0.016130000000000002,34.2815,0.1035
0.01684,34.6569,0.1123
0.01701,34.6009,0.114
0.01732,34.1874,0.1073
0.0176,34.4291,0.1114
0.01802,34.5403,0.1077
0.01884,34.5483,0.1071
0.01892,34.1126,0.125
0.01925,34.6257,0.107
0.02015,34.9301,0.1089
0.02025,34.6771,0.1036
0.02028,34.6717,0.1026
0.02286,35.1534,0.1103
0.02306,35.0576,0.108
0.02321,35.0521,0.1064
0.02327,34.7948,0.1085
0.02332,34.9918,0.1077
0.02468,35.1395,0.107
0.02494,35.2885,0.1056
0.02507,34.8443,0.105
0.02551,35.2693,0.1043
0.02565,35.1509,0.1051
0.02567,35.1798,0.1102
0.02604,35.4133,0.1109
0.02648,35.2567,0.1151
0.02678,35.3054,0.1101
0.02735,35.2999,0.1049
0.02782,35.3829,0.1072
0.02809,35.4316,0.1066
0.02812,35.6608,0.1064
0.02834,35.296,0.109
0.02852,35.4814,0.1052
0.02902,35.4351,0.1059
0.02992,35.7804,0.1115
0.030060000000000007,35.495,0.111
0.03036,35.7092,0.1061
0.03074,35.559,0.1128
0.03081,35.6624,0.1059
0.03194,35.7169,0.108
0.033089999999999994,35.8316,0.1154
0.0343,35.7871,0.1059
0.03442,35.8677,0.1065
0.03468,36.0647,0.1065
0.03486,35.8108,0.1112
0.03505,36.0029,0.1099
0.03556,35.8034,0.1114
0.03562,35.9747,0.1171
0.03672,35.9993,0.1048
0.0371,36.0118,0.1153
0.038360000000000005,36.0633,0.1136
0.0393,36.2325,0.1118
0.04191,36.4658,0.1105
0.04269,36.4439,0.1076
0.04278,36.4109,0.1133
0.04385,36.4744,0.1173
0.045610000000000005,36.5357,0.1063
0.046110000000000005,36.5346,0.1071
0.04878,36.7981,0.1196
0.0518,36.5689,0.117
0.052729999999999985,36.8494,0.1352
0.054000000000000006,36.8254,0.1084
0.10105,38.5474,0.1153
0.10605,38.544,0.7443
0.11496,38.6361,0.1109
0.11573,38.6714,0.1118
0.12348,38.8139,0.1105
0.1298,39.1156,0.1196
0.13263,39.0129,0.1112
0.13864,39.1268,0.1125
0.13985999999999998,38.9518,0.1092
0.15606,39.4828,0.1303
0.15955,39.4435,0.1236
0.17606,39.5987,0.1102
0.17902,39.6617,0.1175
0.1796,39.5676,0.1103
0.18619,39.8868,0.1672
0.18943,39.6991,0.1182
0.19695,40.1257,0.1274
0.20199,39.8263,0.3293
0.21694,40.0401,0.1162
0.22201,40.4,0.1421
0.22399,40.315,0.1217
0.22486,40.1629,0.126
0.22621,40.1304,0.2185
0.22842,40.3006,0.1153
0.24681,40.5148,0.1107
0.24732,40.3391,0.1227
0.26208000000000004,40.5769,0.1106
0.26446,43.3016,0.2888
0.26521,40.5013,0.115
0.26788,40.6891,0.1144
0.2682,40.7442,0.1325
0.27201,40.6948,0.1248
0.27393,40.7922,0.1107
0.27492,40.8381,0.1132
0.28265,40.7812,0.1129
0.28309,40.9117,0.1293
0.28351,42.099,0.5006
0.28876,44.3188,0.4366
0.2941,41.0255,0.1106
0.29842,41.3125,0.2515
0.29879,40.9291,0.1104
0.3,41.0253,0.194
0.30144,41.023,0.1183
0.3016,40.9175,0.1179
0.30356,40.8916,0.1107
0.30446,40.9841,0.1265
0.30554000000000003,40.941,0.1113
0.30599,41.0405,0.1133
0.30791,41.0334,0.241
0.30817,41.1105,0.1115
0.30965,41.9067,0.5175
0.30994,41.093,0.1101
0.31095,41.137,0.1267
0.31158,41.1243,0.1123
0.31475,40.9709,0.1136
0.31668,41.0286,0.1347
0.31676,41.1676,0.1196
0.31846,41.2441,0.1165
0.31936,41.4211,0.1679
0.32052,40.9415,0.1107
0.32094,41.2184,0.1147
0.32162,41.4331,0.3034
0.3219,41.0585,0.1107
0.32277,41.1406,0.2204
0.32402,41.1755,0.1131
0.32498,41.0081,0.116
0.32723,41.1863,0.4124
0.32932,41.1238,0.1127
0.32979,41.3394,0.116
0.32983,41.2818,0.2172
0.33553,41.3227,0.1129
0.33605,41.1768,0.1108
0.33688,41.246,0.1106
0.3396,41.2353,0.197
0.34007,41.3971,0.1211
0.34357,41.2956,0.1148
0.3461,41.3171,0.1291
0.34611,41.2433,0.1882
0.34745,41.3033,0.1134
0.34812,41.2521,0.1144
0.34901,41.2235,0.1115
0.35048,41.3248,0.117
0.35116,41.248,0.1614
0.35143,41.3294,0.1117
0.35235,41.2185,0.1124
0.35353,41.4458,0.1117
0.35377,41.0158,0.1404
0.35672,41.5454,0.1134
0.35686,41.3991,0.1138
0.3659,41.3965,0.1125
0.36759,41.7341,0.1235
0.3684,41.413,0.1159
0.36967,41.3739,0.1111
0.37012,41.5509,0.128
0.37064,41.5063,0.1118
0.37278,41.5116,0.1121
0.37342,41.4122,0.1134
0.37441,41.4536,0.1401
0.37541,41.5497,0.3024
0.37562,41.3259,0.1112
0.37568,41.5557,0.1108
0.3759,41.5743,0.1109
0.37794,41.4191,0.112
0.37849,41.4035,0.1124
0.38125,41.4336,0.345
0.38136,41.5358,0.1125
0.38159,41.7629,0.1133
0.38381,41.5505,0.1103
0.38607,41.5075,0.1146
0.38641,41.6216,0.1347
0.38661,41.5542,0.1108
0.38845,41.6741,0.1163
0.38906,41.5799,0.1129
0.38918,41.8229,0.1397
0.39024,41.6699,0.1146
0.3908,41.6367,0.1106
0.39142,41.6479,0.1402
0.39208,41.5843,0.111
0.3921,41.6773,0.1138
0.3923,41.6173,0.1417
0.3938,41.9255,0.3187
0.39397,41.7378,0.1099
0.39481,41.9499,0.2343
0.39604,41.6509,0.163
0.39761,41.7851,0.1095
0.39805,42.1373,0.3408
0.39833,41.4439,0.1044
0.39989,41.6489,0.1174
0.40066,41.6742,0.109
0.40291,41.8022,0.1218
0.40458,41.7768,0.1251
0.40528,41.5075,0.1083
0.40711,41.7846,0.1113
0.40725,41.7446,0.1199
0.4078,41.6874,0.1121
0.40832,41.575,0.11
0.40955,41.6629,0.1087
0.41102,41.7838,0.1096
0.413,41.7689,0.1126
0.41335,41.9218,0.1121
0.41376,41.4963,0.3901
0.41568,41.9484,0.1459
0.41657,41.6427,0.1087
0.41689,41.6437,0.1104
0.41738,41.9425,0.1093
0.41819,41.7893,0.1195
0.4192,41.7805,0.1095
0.42225,41.9511,0.1603
0.42272,41.9393,0.1113
