Unnamed: 0,case,other_name,other_code,nIa,nothers,perc_Ia,perc_others,accuracy,efficiency,purity,f1,fom3,wfit_w_lowz,wfit_wsig_lowz,wfit_om_lowz,wfit_omsig_lowz,stan_w_lowz,stan_wsig_lowz,stan_om_lowz,stan_omsig_lowz,WassersteinDistanceMedian,other_short,KLD
0,90SNIa10SNIax,Iax,43,2700,300,90.0,10.0,0.8185117967332124,0.9,0.9,0.9,0.675,-0.8895,0.0098,0.3095,0.0047,-1.06,0.02,0.31,0.0039,0.0376235437960099,Iax,1840.8416727264914
1,99SNIa1SNIbc,"['Ibc', 'Ibc']","[3, 13]",2970,"[19, 11]",99.0,"[1.0, 0.0]",0.9818511796733213,0.99,0.99,0.99,0.9608823529411764,-0.861,0.0274,0.309,0.0049,-1.04,0.02,0.3,0.0045,0.0176249249447429,Ibc,429.1406568643139
2,75SNIa25SNII,"['II', 'II', 'II']","[2, 12, 14]",2250,"[374, 305, 71]",75.0,"[12.0, 10.0, 2.0]",0.5462794918330308,0.75,0.75,0.75,0.375,-1.146,0.0389,0.311,0.0017,-1.14,0.02,0.31,0.0017,0.10552227929521901,II,122771.99681259596
3,95SNIa5SNIax,Iax,43,2850,150,95.0,5.0,0.9092558983666059,0.95,0.95,0.95,0.8204545454545454,-0.8135,0.0356,0.3002,0.0055,-1.05,0.02,0.31,0.0042,0.0251830578839955,Iax,759.4130362640201
4,99SNIa1SLSN,SLSN,60,2970,30,99.0,1.0,0.9818511796733213,0.99,0.99,0.99,0.9608823529411764,-0.7945,0.0074,0.305,0.0051,-1.07,0.02,0.31,0.0035,0.026459804843761002,SLSN,899.4784209494992
5,99.7SNIa0.3CART,CART,63,2991,9,100.0,0.3,0.9945553539019965,0.997,0.997,0.997,0.9880805168986084,-0.861,0.0305,0.308,0.0051,-1.03,0.02,0.3,0.005,0.0198613729932027,CART,522.4517117339192
6,fiducial3000,"['II', 'Ibc', 'II', 'Ibc', 'II', 'Iax', 'CART']","[2, 3, 12, 13, 14, 43, 63]",2907,"[48, 1, 1, 2, 6, 34, 1]",97.0,"[2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0.9437386569872959,0.969,0.969,0.969,0.8841440677966101,-0.861,0.0273,0.3077,0.005,-1.03,0.02,0.3,0.0049,0.0127700473783346,mix,204.802728128646
7,99.6SNIa0.4TDE,TDE,64,2988,12,100.0,0.4,0.9927404718693283,0.996,0.996,0.996,0.9841428571428572,-0.861,0.0338,0.309,0.0051,-1.04,0.02,0.3,0.0046,0.00382312297739233,TDE,17.414502037350662
8,95SNIa5SNIbc,"['Ibc', 'Ibc']","[3, 13]",2850,"[84, 66]",95.0,"[3.0, 2.0]",0.9092558983666059,0.95,0.95,0.95,0.8204545454545454,-0.8515,0.047,0.309,0.0056,-1.04,0.02,0.3,0.0044,0.0237044078178712,Ibc,794.4864887378278
9,99SNIa1AGN,AGN,70,2970,30,99.0,1.0,0.9818511796733213,0.99,0.99,0.99,0.9608823529411764,-0.8895,0.0131,0.3022,0.0052,-1.02,0.02,0.3,0.0052,0.0146211161615581,AGN,257.42386178272227
10,98SNIa2AGN,AGN,70,2940,60,98.0,2.0,0.9637023593466424,0.98,0.98,0.98,0.9234615384615384,-0.8705,0.024,0.309,0.0047,-1.04,0.02,0.31,0.0042,0.0324550926024306,AGN,1513.0445234929855
11,98SNIa2SNII,"['II', 'II', 'II']","[2, 12, 14]",2940,"[31, 21, 8]",98.0,"[1.0, 1.0, 0.0]",0.9637023593466424,0.98,0.98,0.98,0.9234615384615384,-0.8135,0.0321,0.3002,0.0055,-1.04,0.02,0.31,0.0043,0.0050523224466663295,II,31.305257760287372
12,random3000,"['II', 'Ibc', 'II', 'Ibc', 'II', '91bg', 'Iax', 'SLSN', 'CART', 'AGN']","[2, 3, 12, 13, 14, 41, 43, 60, 63, 70]",2716,"[90, 14, 73, 5, 15, 4, 78, 2, 1, 2]",91.0,"[3.0, 0.0, 2.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0]",0.8281911675741077,0.9053333333333332,0.9053333333333332,0.9053333333333332,0.6891494768310912,-0.994,0.0139,0.311,0.004,-1.07,0.02,0.31,0.0037,0.0681856600900345,mix,15084.717638924487
13,90SNIa10SNIbc,"['Ibc', 'Ibc']","[3, 13]",2700,"[176, 124]",90.0,"[6.0, 4.0]",0.8185117967332124,0.9,0.9,0.9,0.675,-0.861,0.0416,0.311,0.0048,-1.06,0.02,0.31,0.0031,0.035911839120284,Ibc,2099.6600533967653
14,perfect3000,,,3000,,100.0,,1.0,1.0,1.0,1.0,1.0,-0.8705,0.0157,0.3055,0.005,-1.03,0.02,0.3,0.005,0.0,,0.0
15,72SNIa28SNII,"['II', 'II', 'II']","[2, 12, 14]",2160,"[412, 363, 65]",72.0,"[14.0, 12.0, 2.0]",0.4918330308529946,0.72,0.72,0.72,0.3323076923076923,-1.2695,0.033,0.311,0.0012,-1.14,0.02,0.31,0.0015,0.10802931370499401,II,148406.73029984502
16,99SNIa1SNII,"['II', 'II', 'II']","[2, 12, 14]",2970,"[16, 9, 5]",99.0,"[1.0, 0.0, 0.0]",0.9818511796733213,0.99,0.99,0.99,0.9608823529411764,-0.8705,0.0212,0.307,0.005,-1.03,0.02,0.3,0.0049,0.013270053799202,II,220.82482448048145
17,99SNIa1SNIax,Iax,43,2970,30,99.0,1.0,0.9818511796733213,0.99,0.99,0.99,0.9608823529411764,-0.861,0.025,0.3063,0.0051,-1.03,0.02,0.3,0.0051,0.01416901779038,Iax,242.60154621952663
18,95SNIa5AGN,AGN,70,2850,150,95.0,5.0,0.9092558983666059,0.95,0.95,0.95,0.8204545454545454,-0.8515,0.0463,0.311,0.0051,-1.06,0.02,0.31,0.0033,0.0279590451041357,AGN,1014.1795947045939
