id,redshift,type,code,orig_sample,queryable,code_zenodo
40569798,0.596,Ia,11,test,True,90
109637124,0.71,Ia,11,test,True,90
55598941,0.411,Ia,11,test,True,90
46101898,0.6890000000000001,Ia,11,test,True,90
32655647,0.705,Ia,11,test,True,90
32851727,0.536,Ia,11,test,True,90
1370487,0.242,Ia,11,test,True,90
82375299,0.322,Ia,11,test,True,90
95086238,0.504,Ia,11,test,True,90
124780606,0.391,Ia,11,test,True,90
126084274,0.418,Ia,11,test,True,90
101593503,0.206,Ia,11,test,True,90
59282465,0.129,Ia,11,test,True,90
81633869,0.093,Ia,11,test,True,90
74809216,0.301,Ia,11,test,True,90
63282250,0.8640000000000001,Ia,11,test,True,90
83219563,0.475,Ia,11,test,True,90
3750910,0.609,Ia,11,test,True,90
43597430,0.424,Ia,11,test,True,90
18283875,0.463,Ia,11,test,True,90
123029835,0.561,Ia,11,test,True,90
103506245,0.552,Ia,11,test,True,90
32548246,0.608,Ia,11,test,True,90
32226214,0.649,Ia,11,test,True,90
117062280,0.423,Ia,11,test,True,90
51778163,0.959,Ia,11,test,True,90
57408748,0.235,Ia,11,test,True,90
115941517,0.7709999999999999,Ia,11,test,True,90
123770424,0.256,Ia,11,test,True,90
47327489,0.3670000000000001,Ia,11,test,True,90
11732341,0.439,Ia,11,test,True,90
102533792,0.601,Ia,11,test,True,90
67607193,0.599,Ia,11,test,True,90
37426058,0.716,Ia,11,test,True,90
42712106,0.515,Ia,11,test,True,90
1541512,0.193,Ia,11,test,True,90
117652974,0.285,Ia,11,test,True,90
18737235,0.34700000000000003,Ia,11,test,True,90
48537820,0.257,Ia,11,test,True,90
71172528,0.249,Ia,11,test,True,90
120357059,0.371,Ia,11,test,True,90
98506177,0.59,Ia,11,test,True,90
37983866,0.723,Ia,11,test,True,90
41980593,0.595,Ia,11,test,True,90
86721042,0.948,Ia,11,test,True,90
34244940,0.579,Ia,11,test,True,90
36638677,0.8290000000000001,Ia,11,test,True,90
48406422,0.355,Ia,11,test,True,90
114955523,0.21600000000000005,Ia,11,test,True,90
64775292,0.534,Ia,11,test,True,90
102466638,1.006,Ia,11,test,True,90
40319506,0.47,Ia,11,test,True,90
30634213,0.314,Ia,11,test,True,90
128534272,0.5920000000000001,Ia,11,test,True,90
86171322,0.637,Ia,11,test,True,90
12645480,0.956,Ia,11,test,True,90
101801054,0.959,Ia,11,test,True,90
78079181,0.6659999999999999,Ia,11,test,True,90
121039050,0.156,Ia,11,test,True,90
99923263,0.6459999999999999,Ia,11,test,True,90
78117089,0.44,Ia,11,test,True,90
95702912,0.449,Ia,11,test,True,90
99966560,0.401,Ia,11,test,True,90
128639536,0.368,Ia,11,test,True,90
107903648,0.599,Ia,11,test,True,90
5524125,0.818,Ia,11,test,True,90
12032846,0.194,Ia,11,test,True,90
87829360,0.978,Ia,11,test,True,90
100150148,0.507,Ia,11,test,True,90
69445039,0.411,Ia,11,test,True,90
61926917,0.5710000000000001,Ia,11,test,True,90
110771869,0.51,Ia,11,test,True,90
51617800,0.649,Ia,11,test,True,90
