z,mu,muerr
0.014414468544673468,34.3628,0.1085
0.014918730908845976,34.2769,0.1086
0.015049808739321435,34.3468,0.1114
0.01508158649076669,34.1589,0.1092
0.01536317875860589,34.3233,0.1089
0.015443535411039537,33.9973,0.103
0.0155,34.1933,0.1084
0.015565678399812028,34.2063,0.1034
0.01574053334918175,34.3059,0.1118
0.015747791157396197,34.3648,0.1133
0.015951806013964093,34.1171,0.1032
0.016027259737009244,34.4417,0.109
0.016130000000000002,34.2761,0.1035
0.016224414771818334,34.1663,0.1091
0.01661565332830024,34.3606,0.1043
0.0166836932795195,34.372,0.113
0.01668808419585684,34.1316,0.1032
0.016718255778343453,34.4332,0.1122
0.016763919320828262,34.4489,0.1045
0.016806221890636023,34.6089,0.1067
0.01684,34.6515,0.1123
0.01694700920112845,34.5037,0.1047
0.01694766305730722,34.5895,0.1127
0.016994105388596505,34.269,0.1492
0.01701,34.5956,0.114
0.01702307957933233,34.621,0.1068
0.01707315515499797,34.3387,0.1121
0.01713106565751015,34.3479,0.1242
0.017145740794610686,34.5011,0.1127
0.0172643091454703,34.3395,0.1061
0.017265613054268988,34.5448,0.1131
0.01732,34.1821,0.1073
0.017323942295756647,34.3567,0.1115
0.017433287692196087,34.5366,0.1126
0.017474890213812582,34.3922,0.1124
0.017577003305435983,34.1018,0.1033
0.0176,34.4237,0.1114
0.017618735965973215,34.578,0.1053
0.017634340332466872,34.5609,0.1048
0.017651373068999457,34.0681,0.1032
0.017656766380400823,34.2818,0.1041
0.017724941983956334,34.5924,0.1065
0.01782949735838521,34.4133,0.1089
0.01788410119787648,34.5817,0.1116
0.017912694646627203,34.5474,0.1115
0.01799183902668573,34.2288,0.1127
0.01802,34.5349,0.1077
0.018130787453466902,34.4064,0.1131
0.01813210289618492,34.3655,0.1069
0.018298659448959705,34.417,0.1123
0.018349213713588206,34.3419,0.1091
0.01839318735170785,34.2462,0.1125
0.01844481862273892,34.5488,0.1065
0.01845537219260854,34.5125,0.1067
0.01847334013610061,34.4007,0.1128
0.01879650836406785,34.5488,0.1068
0.01884,34.5429,0.1071
0.01892,34.1072,0.125
0.018969668878632516,34.6549,0.1071
0.018989282756243533,34.8577,0.1096
0.01901641169449391,34.6118,0.1062
0.01925,34.6204,0.107
0.019362783398072556,34.419,0.1061
0.019371255120408215,34.6718,0.1093
0.019414357095234293,34.676,0.1071
0.019674038448900057,34.7031,0.1075
0.019759236830745545,34.6594,0.1085
0.02012571817242726,34.7049,0.1036
0.020134579881249535,34.4301,0.1029
0.02015,34.9247,0.1089
0.020234589375070236,34.4607,0.1063
0.02025,34.6717,0.1036
0.02028,34.6663,0.1026
0.020394616008991853,34.6619,0.1076
0.020440791349579608,34.7661,0.1027
0.02084247228843925,34.6717,0.1028
0.020887407565957455,34.6697,0.1089
0.020930615496670683,34.7547,0.1088
0.020954512943190277,34.7884,0.1037
0.021003890915506224,34.7225,0.1039
0.021807551659998446,35.0495,0.1071
0.022105241922533804,34.8292,0.1072
0.022298210244028897,34.7767,0.1078
0.0226986670781239,34.9908,0.1072
0.022745793383787717,34.8667,0.1079
0.02274877324689199,34.5368,0.1034
0.02286,35.1481,0.1103
0.02286614492952595,34.8125,0.1071
0.022940365351664768,35.3622,0.1094
0.02306,35.0522,0.108
0.023126039048801273,35.0349,0.1062
0.023181625176700728,34.9307,0.1058
0.02321,35.0468,0.1064
0.02327,34.7894,0.1085
0.02332,34.9864,0.1077
0.023560555444567977,34.8589,0.1062
0.023561544910857733,34.9995,0.1063
0.02367713639409035,35.1198,0.1068
0.02387369221273175,35.1996,0.1099
0.023977823620933047,35.0178,0.1063
0.024150505422493303,35.0587,0.1081
0.024472853853672618,35.0372,0.1064
0.024610516730542223,35.158,0.1051
0.02461779978919179,35.1372,0.1062
0.024651441066178763,34.8557,0.1064
0.02468,35.1341,0.107
0.024924947898990833,35.4026,0.1042
0.02494,35.2831,0.1056
0.024944370045415273,35.0538,0.1062
0.024971702570406124,35.1817,0.1106
0.02507,34.8389,0.105
0.025115147615156555,35.2427,0.1056
0.025137184989343853,34.9849,0.1087
0.02522911656094363,35.2812,0.1044
0.025464208180348814,35.0759,0.1038
0.02551,35.2639,0.1043
0.02565,35.1456,0.1051
0.025657555741451978,34.9745,0.1082
0.02567,35.1745,0.1102
0.025744022655623797,35.0658,0.1055
0.02589311772914777,35.238,0.1056
0.02604,35.4079,0.1109
0.02609575656670658,35.2553,0.1121
0.026467289509196617,35.1845,0.1057
0.02648,35.2513,0.1151
0.026687670582067995,35.2132,0.1051
0.02678,35.3,0.1101
0.0268001444464609,35.6978,0.1072
0.026940425185727614,35.0852,0.1087
0.026953824407564664,35.2124,0.1132
0.026983326103554757,35.3209,0.1058
0.02702195878997203,35.3732,0.1044
0.027086900567115827,35.3313,0.1112
0.027093830076253406,35.5498,0.1067
0.02718650111514051,35.3451,0.1081
0.027261572453288644,35.2165,0.1046
0.02735,35.2945,0.1049
0.027538328261294553,35.5716,0.1094
0.02755145302111745,35.3248,0.1067
0.02771765997090942,35.424,0.1122
0.02782,35.3775,0.1072
0.02809,35.4262,0.1066
0.028098996399168828,35.0618,0.1086
0.02812,35.6554,0.1064
0.028177729642942326,35.2719,0.105
